Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Afghanistan,AFG,40.288,39.646,39.364,38.732,38.171,37.624,37.138,36.601,36.342,36.045,35.437
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Albania,ALB,13.137,13.071,12.431,11.873,11.416,10.898,10.757,10.536,10.512,10.305,10.244
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Algeria,DZA,25.524,26.063,25.811,25.439,25.015,24.063,23.379,22.43,21.392,20.491,19.625
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,American Samoa,ASM,20.73,20.317,19.821,19.141,18.206,17.204,16.304,15.658,15.649,15.522,15.388
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Andorra,AND,9.03,8.973,9.132,8.432,7.831,7.159,6.993,6.831,6.828,6.85,6.859
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Angola,AGO,43.065,42.503,41.847,41.183,40.595,40.057,39.539,39.127,38.67,38.102,37.588
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Antigua and Barbuda,ATG,12.436,12.31,12.587,11.657,11.796,10.822,11.5,12.18,12.135,12.001,11.848
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,ARG,17.683,18.019,17.665,16.789,16.155,15.332,13.902,11.799,11.682,10.926,11.064
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Armenia,ARM,13.8,14.3,13.9,13.5,12.6,12.3,12.2,12.3,12.4,12.3,12.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Aruba,ABW,12.548,12.864,11.556,11.625,11.477,10.807,10.842,9.688,9.461,8.527,7.973
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Australia,AUS,13.3,13.2,12.9,12.9,12.6,12.6,12.1,11.5,12.1,11.6,10.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Austria,AUT,9.4,9.6,9.8,10,10,9.7,9.6,9.4,9.6,9.1,8.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Azerbaijan,AZE,18.3,17.9,17.2,16.3,14.6,14,14.1,12.5,11.1,12.1,11.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Bahamas, The",BHS,13.902,13.503,12.607,11.983,11.421,11.263,11.195,11.115,11.023,10.942,10.852
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bahrain,BHR,15.585,15.625,15.36,14.623,14.071,13.641,13.318,12.813,13.042,13.282,12.46
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,20.55,20.298,20.254,20.226,19.991,20.069,20.131,20.289,20.414,20.583,20.353
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Barbados,BRB,12.029,11.905,11.798,11.706,11.628,11.539,11.446,11.334,11.287,11.249,11.173
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belarus,BLR,12.5,12.5,12.5,12.4,10.8,9.9,9.3,8.886,8.624,8.062,7.136
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belgium,BEL,11.3,11.2,10.8,10.8,10.5,10.4,10.2,9.9,10.2,9.8,9.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belize,BLZ,22.055,21.972,21.698,21.374,21.286,21.144,19.335,18.353,16.539,17.391,18.025
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Benin,BEN,39.582,39.342,38.996,38.554,37.84,36.955,36.036,35.331,34.779,34.35,33.879
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bermuda,BMU,9.393,8.844,9.055,9.171,8.81,8.407,8.375,8.678,8.21,8.183,8.046
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bhutan,BTN,17.065,16.422,15.656,14.81,13.759,12.941,12.421,12.952,12.892,12.807,12.663
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,BOL,24.437,24.041,23.653,23.272,22.911,22.574,22.257,21.996,21.808,21.566,21.247
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bosnia and Herzegovina,BIH,8.735,8.399,8.515,8.482,8.568,8.803,8.561,8.353,8.011,7.748,7.714
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,BWA,27.183,26.795,26.475,26.254,26.073,25.897,25.751,25.532,25.422,25.253,24.713
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brazil,BRA,14.785,14.784,14.684,14.146,14.123,14.022,13.548,12.995,12.754,12.555,12.322
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,British Virgin Islands,VGB,9.313,10.821,10.234,9.545,6.925,6.982,8.071,8.174,8.397,8.416,8.332
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brunei Darussalam,BRN,16.913,16.627,16.239,15.785,15.334,14.924,14.572,14.284,14.06,13.847,13.59
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,9.3,9.6,9.4,9.4,9.4,9.3,9.3,9,9,8.8,8.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burkina Faso,BFA,41.703,40.862,40.043,38.925,37.727,36.006,34.325,32.738,32.416,32.043,31.643
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,BDI,43.899,42.901,42.257,40.096,38.618,37.215,36.579,35.855,35.06,34.306,33.667
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cabo Verde,CPV,18.401,18.079,17.459,17.32,16.8,15.451,14.288,13.142,12.569,12.438,12.33
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cambodia,KHM,24.56,24.403,24.218,23.956,23.655,23.372,22.988,22.409,21.905,21.279,20.752
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cameroon,CMR,38.076,37.548,37.719,37.775,37.516,36.899,36.183,35.438,34.778,34.268,33.743
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Canada,CAN,10.9,10.9,10.7,10.6,10.3,10.1,9.9,9.5,9.7,9,8.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cayman Islands,CYM,12.215,11.241,10.64,10.296,10.175,10.584,12.435,12.716,12.581,12.192,11.838
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central African Republic,CAF,44.657,44.647,43.338,43.391,43.742,43.838,44.108,44.475,45.226,45.425,46.358
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,TCD,47.429,47.052,46.51,45.533,44.917,44.401,44.316,43.75,43.284,43.35,42.396
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Channel Islands,CHI,10.1,9.8,9.5,9.2,8.8,8.5,8.3,8.2,8.2,8.2,8.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chile,CHL,13.622,13.473,13.147,12.685,11.763,11.698,10.94,10.097,9.07,9.672,8.963
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,China,CHN,13.03,13.83,11.99,13.57,12.64,10.86,10.41,8.52,7.52,6.77,6.39
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Colombia,COL,15.63,15.258,14.764,14.271,14.177,14.195,14.218,14.106,13.947,13.731,13.475
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Comoros,COM,33.856,33.322,32.78,32.093,31.35,30.91,30.447,29.985,29.498,29.062,28.653
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Dem. Rep.",COD,43.69,43.505,43.236,42.875,42.976,42.887,42.549,42.19,41.937,41.623,41.305
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Rep.",COG,36.824,35.819,34.932,34.093,33.413,32.784,32.183,31.741,31.377,30.941,30.627
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Costa Rica,CRI,14.77,14.848,14.704,14.184,13.812,13.622,12.661,11.366,10.543,10.319,10.179
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cote d'Ivoire,CIV,40.451,39.841,38.768,37.742,36.58,35.081,34.306,33.651,33.081,32.5,31.99
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Croatia,HRV,9.4,9.3,8.9,9,8.9,9,8.9,8.9,9.4,8.8,8.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cuba,CUB,11.156,10.873,10.938,10.299,10.115,10.172,9.668,9.257,8.814,8.662,8.706
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Curacao,CUW,12.7,12.6,11.9,11.2,9.7,10.5,10.1,8.7,8.6,8.2,7.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cyprus,CYP,11.027,11.141,11.242,11.505,11.158,11.029,11.014,11.142,11.236,11.048,10.799
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Czechia,CZE,10.2,10.4,10.5,10.7,10.8,10.7,10.5,10.3,10.6,9.5,8.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Denmark,DNK,10,10.1,10.2,10.8,10.6,10.6,10.5,10.4,10.8,9.9,9.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Djibouti,DJI,24.592,24.094,23.567,23.061,22.703,22.313,21.913,21.578,21.308,21.032,20.769
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominica,DMA,13.294,13.684,13.106,12.922,11.813,11.636,11.512,11.404,11.251,11.146,11.09
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominican Republic,DOM,21.179,20.844,20.538,20.239,20.009,19.848,19.43,18.957,18.571,18.255,17.931
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ecuador,ECU,19.656,18.896,18.357,17.622,17.677,17.523,16.924,16.391,15.882,15.423,15.033
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Egypt, Arab Rep.",EGY,28.591,28.393,28.184,26.679,26.1,23.592,22.267,22.004,21.154,21.091,21.004
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,El Salvador,SLV,19.185,19.014,18.579,17.73,17.122,16.683,16.57,16.303,16.15,15.92,15.758
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Equatorial Guinea,GNQ,36.034,35.282,34.531,33.792,33.07,32.4,31.783,31.351,30.703,30.123,29.604
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eritrea,ERI,31.702,31.456,30.554,30.092,29.551,29.195,29.119,28.872,28.818,28.675,28.544
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Estonia,EST,10.3,10.3,10.6,10.7,10.5,10.9,10.6,9.9,10,8.6,8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eswatini,SWZ,29.646,29.02,28.308,27.623,26.926,26.412,25.889,25.39,24.957,24.611,24.073
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ethiopia,ETH,33.644,33.408,33.331,33.329,33.222,33.394,33.549,33.31,32.876,32.413,31.903
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Faroe Islands,FRO,13,13.3,12.5,13.8,13.2,13.6,13.3,13.1,13,11.8,10.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Fiji,FJI,21.495,21.291,20.998,20.55,20.029,19.601,19.226,18.828,18.55,18.242,17.996
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Finland,FIN,10.7,10.5,10.1,9.6,9.1,8.6,8.3,8.4,9,8.1,7.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,France,FRA,12.4,12.4,12,11.8,11.5,11.3,11.2,10.9,10.9,10.7,9.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,French Polynesia,PYF,15.713,15.799,15.001,13.999,13.146,12.812,11.938,11.782,11.424,11.156,10.907
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gabon,GAB,31.919,31.384,31.085,30.983,30.774,30.537,30.146,29.541,28.938,28.3,27.666
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Gambia, The",GMB,38.097,36.907,35.746,34.593,33.451,32.324,31.921,31.525,31.171,30.771,30.429
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Georgia,GEO,15.065,16.09,16.021,15.818,14.905,14.334,13.588,13.053,12.881,11.612,11.494
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Germany,DEU,8.5,8.8,9,9.6,9.5,9.5,9.4,9.3,9.6,8.8,8.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ghana,GHA,32.219,31.547,31.114,30.172,28.926,28.388,27.891,27.43,27.034,26.596,26.31
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gibraltar,GIB,13.284,13.127,12.993,12.042,12.023,12,11.975,11.984,12,12.026,12.07
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greece,GRC,8.6,8.5,8.5,8.6,8.2,8.1,7.8,7.9,8.1,7.3,6.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greenland,GRL,14.5,14.3,15.2,14.8,15.2,14.6,15.1,14.8,13.4,13.2,12.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Grenada,GRD,15.401,14.529,13.855,13.052,11.645,12.395,12.466,12.324,12.14,11.935,11.711
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guam,GUM,19.939,20.228,19.936,21.377,20.622,19.818,19.256,18.613,18.296,18.008,17.662
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guatemala,GTM,26.716,26.467,26.222,25.957,25.171,24.315,23.089,22.043,21.407,21.063,20.809
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea,GIN,38.379,38.046,37.767,37.414,36.891,36.329,35.952,35.518,34.983,34.381,33.848
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea-Bissau,GNB,37.082,36.096,35.199,34.217,33.036,32.374,31.848,31.406,30.969,30.458,30.037
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guyana,GUY,22.562,22.606,22.516,22.332,22.044,21.236,21.945,21.254,20.961,20.748,20.287
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Haiti,HTI,26.065,25.751,25.444,25.102,24.645,24.222,23.774,23.338,22.919,22.547,22.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Honduras,HND,24.803,24.388,24.084,23.804,23.504,23.392,23.111,22.803,22.529,22.242,21.963
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Hong Kong SAR, China",HKG,8,8.6,8.2,8.3,7.6,7.2,7,5.8,5,4.4,4.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Hungary,HUN,9.1,9.5,9.4,9.8,9.7,9.6,9.6,9.7,9.8,9.3,9.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iceland,ISL,13.4,13.4,12.5,12,11.9,12,12.3,12.3,13.1,11.5,11
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,India,IND,20.061,19.089,18.936,18.756,17.995,17.91,17.368,16.744,16.491,16.336,16.146
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Indonesia,IDN,19.643,19.091,18.569,18.138,17.54,17.146,16.909,16.674,16.417,16.204,15.941
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Iran, Islamic Rep.",IRN,18.531,18.828,18.879,18.787,18.045,16.664,14.918,14.008,13.687,13.314,12.951
